ФИО;Пол;Дата рождения;СНИЛС
Валпова;Виолетта;Яковлевна;433-174-374 33;27.01.1950
Лазоркина;Клара;Богдановна;614-158-635 48;09.02.1948
Подзноева;Катерина;Василевна;055-507-526 28;11.02.1986
Филинцева;Яна;Алексеевна;833-135-811 73;03.06.1966
Любинина;Яна;Никитична;651-102-139 75;27.01.1972
Якерина;София;Сергеевна;818-144-950 20;19.07.1989
Курзина;Ольга;Леонидовна;468-470-795 07;06.05.2006
Джерихова;Полина;Богдановна;478-783-946 30;12.02.1948
Вединеева;Софья;Богдановна;403-452-726 24;29.04.1975
Пескишева;Наталья;Яковлевна;589-681-418 65;23.10.1957
Турашпина;Марина;Аркадьевна;171-131-947 44;05.07.1961
Стегнухина;Надежда;Егоровна;160-914-409 25;18.02.1997
Хамзина;Алёна;Игоревна;782-096-844 79;24.06.1993
Аземова;Анна;Василевна;531-776-309 57;28.09.1998
Дубанкова;Елена;Евгеньевна;836-122-777 71;23.06.2003
Котловская;Ольга;Николаевна;481-438-419 60;29.11.1972
Наскалова;Любовь;Максимовна;223-207-863 37;19.11.1988
Песцова;Светлана;Романовна;758-417-247 49;03.09.2008
Крапилина;Алла;Максимовна;249-385-363 53;14.03.2001
Гуторова;Екатерина;Борисовна;371-157-688 23;18.05.1950
Печалина;Дарья;Вадимовна;322-607-758 91;30.07.1946
Чумычкина;Валентина;Богдановна;300-218-132 35;19.09.1944
Бегтярева;Алёна;Вадимовна;837-569-453 76;15.07.1955
Люткова;Мария;Игоревна;312-413-103 00;09.09.1965
Холзакова;Любовь;Богдановна;739-299-042 27;17.08.1961
Разикова;Галина;Борисовна;095-352-230 39;16.03.2008
Гапунаева;Софья;Ивановна;396-480-898 54;25.04.1943
Рассаднева;Алла;Борисовна;700-836-593 73;05.06.1978
Датриева;Виктория;Ивановна;401-033-694 32;17.06.1984
Мираева;Карина;Алексеевна;119-857-523 45;09.01.1974
Фадеичева;Софья;Максимовна;945-878-259 34;11.02.1993
Избицкая;Ксения;Николаевна;769-377-451 47;18.01.1953
Жолмышкова;Виктория;Эдуардовна;519-949-987 00;17.04.1976
Галтаева;Валерия;Евгеньевна;034-116-755 37;13.04.1973
Рогатных;Вероника;Олеговна;821-430-730 45;17.09.2001
Возилкина;София;Богдановна;636-365-006 81;17.03.1996
Божаева;Александра;Егоровна;937-252-410 35;18.06.1969
Полударова;Ирина;Кирилловна;666-007-090 74;22.11.2003
Буздикова;Екатерина;Евгеньевна;189-123-154 84;31.03.1949
Подобряева;Светлана;Дмитриевна;455-872-225 16;05.01.1969
Шлолина;Клара;Романовна;982-388-264 70;06.10.1981
Лянкова;Раиса;Василевна;378-544-360 03;21.05.1943
Савдунина;Евгения;Яковлевна;467-594-553 70;16.03.1949
Абсалямова;Анна;Сергеевна;807-341-422 52;15.05.1945
Ольгина;Полина;Андреевна;974-715-618 61;08.08.2003
Каухова;Галина;Яковлевна;810-500-838 23;31.08.1990
Голдова;Юлия;Сергеевна;704-412-977 85;12.01.1947
Мосеина;Клара;Валерьевна;805-130-421 12;15.01.1987
Загвоздина;Александра;Вадимовна;668-726-276 83;18.02.2002
Хощяинова;Алина;Эдуардовна;128-587-159 06;05.07.2004
Маланчева;Любовь;Ивановна;138-968-362 75;17.12.1995
Бызина;София;Аркадьевна;068-109-654 50;26.10.2008
Батоева;Лиза;Аркадьевна;809-671-810 95;20.09.1944
Кухарская;Алла;Ивановна;550-115-742 85;27.09.2001
Лохманева;Любовь;Романовна;150-542-169 40;09.11.1993
Гомалеева;Галина;Николаевна;247-951-946 98;09.10.1969
Скосырева;Катерина;Евгеньевна;475-174-793 92;20.04.1990
Гнидкова;Лариса;Олеговна;266-325-076 28;19.11.2005
Чумерина;Ксения;Петровна;415-263-759 98;22.10.1951
Откорова;Любовь;Богдановна;121-760-994 92;02.02.1959
Прядилина;Ольга;Игоревна;608-270-141 41;12.08.1988
Нежинская;Светлана;Егоровна;009-423-544 07;18.09.1988
Сапегова;Маргарита;Леонидовна;262-752-617 38;10.07.1971
Крусподина;Вероника;Сергеевна;941-516-907 49;10.02.2004
Корнулова;Софья;Яковлевна;511-940-739 69;05.06.1966
Обанина;Алёна;Богдановна;655-026-695 82;29.11.1999
Шлигина;Светлана;Богдановна;849-800-226 86;01.09.1943
Мандрасова;Александра;Игоревна;152-955-897 63;23.04.1944
Калиндина;Наталья;Игоревна;666-323-881 45;09.10.1947
Шатанкова;Ольга;Викторовна;279-769-853 29;13.04.1965
Аюпова;Софья;Игоревна;538-245-426 24;25.07.1989
Хаснуллина;Лиза;Егоровна;474-253-470 96;09.09.1966
Бабришева;Дарья;Евгеньевна;386-881-164 43;19.07.1960
Вотрина;Алла;Кирилловна;711-801-072 50;01.10.2004
Польгунова;Маргарита;Вадимовна;206-211-640 36;06.07.1990
Цагараева;Марина;Егоровна;442-776-598 57;20.04.1978
Удеакова;Тамара;Петровна;370-902-938 73;28.05.1960
Патютюева;Галина;Вадимовна;479-271-126 98;14.11.1978
Першина;Светлана;Олеговна;690-995-400 93;13.06.1944
Префкина;Яна;Игоревна;443-031-468 28;31.05.1992
Козова;Инна;Дмитриевна;108-576-727 92;08.04.1978
Биглецова;Полина;Яковлевна;920-636-816 49;13.12.1969
Мамасуева;Софья;Евгеньевна;510-102-230 74;12.12.1959
Капризова;Лариса;Егоровна;818-051-527 11;21.09.1960
Мудрицина;Инна;Яковлевна;400-587-543 42;29.03.1967
Паповичева;Валентина;Егоровна;817-178-588 44;05.09.1995
Цимбалаева;Вера;Дмитриевна;749-645-955 14;21.03.1950
Крамалеева;Елизавета;Николаевна;821-386-473 57;12.01.1963
Эсанова;Алёна;Игоревна;352-897-764 26;06.11.1994
Талкина;Раиса;Андреевна;345-957-901 40;08.04.2004
Трактирова;Ксения;Яковлевна;933-729-328 67;18.01.1944
Лигвинская;Марина;Ивановна;211-636-787 14;19.02.1973
Любопытова;Клара;Алексеевна;770-987-523 59;22.11.2001
Исмайылова;Наталья;Вадимовна;980-040-008 36;22.09.2003
Малынова;Елизавета;Дмитриевна;475-928-967 61;08.01.1984
Веренеева;Тамара;Вадимовна;069-911-814 21;29.11.1991
Челиканова;Лиза;Евгеньевна;056-769-588 72;06.05.1970
Дважкова;Ксения;Викторовна;663-510-411 14;29.12.1956
Панкрушева;Яна;Романовна;741-349-746 87;04.08.1945
Подбелова;Ирина;Егоровна;775-710-948 84;03.10.1997
Чивова;Карина;Вадимовна;864-100-180 25;29.07.1956
Будолина;Маргарита;Борисовна;139-557-371 44;28.10.1955
Ошарова;Александра;Романовна;499-142-128 07;12.08.1953
Ключерова;Елена;Максимовна;188-090-142 65;05.06.1995
Клачкова;Наталия;Ивановна;172-793-116 14;24.06.1961
Шепеткова;Марина;Богдановна;381-757-720 17;22.10.1951
Бадонова;Вероника;Никитична;977-883-939 60;16.03.1981
Масалитова;Ирина;Кирилловна;038-081-191 94;08.07.1998
Машенева;Светлана;Кирилловна;509-367-814 56;30.12.1971
Коргашева;Жанна;Олеговна;915-562-314 81;30.06.1960
Симушова;Екатерина;Андреевна;346-121-246 76;24.07.1946
Симорукова;Анна;Игоревна;434-427-825 48;29.06.1948
Балялина;Яна;Никитична;840-673-719 79;11.02.1995
Крендясова;Тамара;Максимовна;723-659-580 66;16.09.1982
Газимова;Тамара;Викторовна;313-377-359 94;10.11.2003
Занчеева;Виолетта;Борисовна;919-499-318 98;05.08.1995
Глушаева;Ксения;Викторовна;465-116-755 50;27.08.1950
Косянова;София;Максимовна;821-258-564 58;06.04.1996
Главизнина;Александра;Игоревна;237-325-849 100;06.05.1971
Сввина;Виолетта;Никитична;785-548-872 04;10.01.1992
Недодаева;Клавдия;Николаевна;678-119-953 80;24.03.1965
Стукзшина;Надежда;Сергеевна;506-670-362 02;20.05.1945
Пухлова;Маргарита;Аркадьевна;044-659-486 22;06.07.1989
Давыкина;Людмила;Андреевна;420-570-155 88;21.11.1959
Карчажкина;Валентина;Игоревна;175-257-752 52;29.05.1986
Себелева;София;Евгеньевна;408-646-660 36;21.12.1996
Вороханова;Светлана;Олеговна;015-132-619 15;31.05.2005
Идамкина;Клавдия;Максимовна;832-541-143 57;25.05.1963
Сапталова;Раиса;Егоровна;445-543-890 57;05.04.1973
Ландырева;Алла;Егоровна;358-552-570 19;31.03.2002
Аверкина;Маргарита;Василевна;249-233-571 10;05.10.1981
Яснева;Лариса;Василевна;608-252-267 37;25.01.1988
Сетунская;Инна;Василевна;444-159-803 25;10.10.1981
Долуханова;Полина;Максимовна;620-585-971 78;17.10.1952
Пиралиева;Клара;Михайловна;497-266-056 45;06.08.1948
Соскова;Жанна;Максимовна;188-776-639 40;21.12.1975
Юрасовская;Полина;Николаевна;502-324-990 35;18.07.1956
Козеева;Мария;Егоровна;959-427-739 16;02.04.1969
Сгожева;Катерина;Андреевна;122-519-122 55;20.06.1957
Ховренкова;Клавдия;Леонидовна;155-701-096 22;08.12.2001
Светцева;Валентина;Федоровна;002-579-707 74;09.02.2006
Аляпышева;Алиса;Кирилловна;704-047-475 51;11.09.1978
Алеевская;Лиза;Яковлевна;290-461-422 60;13.05.1985
Синцова;София;Вадимовна;457-458-777 48;07.09.1967
Макунова;Кристина;Валерьевна;538-742-895 22;11.06.1955
Посеряева;Полина;Романовна;003-841-975 84;15.08.1971
Акишкина;Ирина;Василевна;854-287-103 78;12.10.1982
Калькаева;Оксана;Максимовна;523-822-555 32;29.06.2005
Гараева;Анна;Николаевна;419-250-539 45;12.08.1946
Бокотина;Ольга;Евгеньевна;029-015-578 73;16.02.1949
Батаева;Яна;Михайловна;743-163-255 07;10.05.1995
Тюбаева;Валерия;Василевна;007-123-933 01;25.09.1987
Мачина;Вера;Сергеевна;836-550-527 27;23.11.1974
Асянова;Тамара;Михайловна;325-161-413 48;20.04.1962
Мултанаева;Тамара;Василевна;525-679-971 18;12.11.1976
Анихреева;Зинаида;Дмитриевна;856-740-541 90;22.05.1946
Беднушкина;Елена;Яковлевна;424-124-631 59;06.09.1983
Порсева;Софья;Борисовна;126-172-401 30;10.05.1976
Фуфалева;Алиса;Вадимовна;078-400-729 38;20.06.1959
Шапыгина;Надежда;Егоровна;597-830-832 24;18.03.1950
Бучерова;Ева;Петровна;809-509-881 84;24.10.2001
Ракомина;Инна;Романовна;839-148-613 21;12.04.1961
Юзовицкая;Алена;Петровна;954-437-861 59;08.03.1995
Инжиляева;Ксения;Эдуардовна;428-708-925 77;27.08.1962
Холюкова;Алена;Алексеевна;333-910-847 56;25.05.1980
Шумборская;Евгения;Аркадьевна;789-703-681 49;05.02.2001
Берарева;Оксана;Олеговна;759-377-586 38;27.04.1995
Дуканова;Яна;Кирилловна;396-218-098 87;01.09.1966
Акучина;Валерия;Леонидовна;153-743-135 93;28.10.1947
Кирпачева;Клара;Богдановна;513-367-678 25;21.04.1994
Уксосова;Кристина;Леонидовна;602-058-720 80;28.08.1961
Кадомцева;Яна;Ивановна;318-174-797 31;21.01.1992
Богадерова;Наталья;Максимовна;490-413-265 00;04.06.1948
Можерикина;Александра;Богдановна;468-041-318 95;20.04.1984
Коровинова;Галина;Алексеевна;031-098-027 14;05.09.1991
Босенкова;Анастасия;Аркадьевна;612-677-829 23;11.12.1970
Копопыхина;Марина;Евгеньевна;250-624-147 06;24.10.2000
Леская;Оксана;Николаевна;706-863-342 09;01.02.1957
Мусницкая;Марина;Валерьевна;520-342-500 06;31.07.1968
Соломкина;Евгения;Петровна;915-563-086 52;22.12.1991
Шеварыкина;Оксана;Евгеньевна;367-895-153 55;27.04.1983
Кайданова;Тамара;Яковлевна;969-693-661 76;26.11.1971
Садашова;Клавдия;Федоровна;004-770-603 75;12.10.2001
Палешкина;Алиса;Никитична;562-629-036 22;15.01.2000
Снопкова;Алла;Борисовна;293-227-057 25;10.09.1978
Мидина;Ирина;Евгеньевна;083-480-081 83;10.01.1945
Швадкина;Раиса;Андреевна;811-674-608 53;26.04.2007
Ланцетова;Наталия;Николаевна;100-078-508 30;03.06.1947
Войкова;София;Егоровна;245-444-795 02;19.04.1954
Манясева;Александра;Никитична;540-282-013 27;22.04.1991
Тетервова;Зинаида;Аркадьевна;865-261-712 82;22.05.1961
Сурьезнова;Клара;Богдановна;533-688-683 18;08.06.1983
Диагенова;Елена;Богдановна;559-444-928 00;27.03.1956
Артыкова;Виктория;Игоревна;123-131-176 88;11.11.1944
Лепанова;Алёна;Вадимовна;473-638-463 58;30.09.2005
Леднявская;Анна;Борисовна;410-056-632 83;15.07.1961
Девонина;Галина;Кирилловна;967-788-249 35;05.04.1978
Алешенкова;Зинаида;Эдуардовна;871-957-713 53;20.12.1986
Телина;Кира;Никитична;426-035-123 40;19.02.1972
Делевянова;Вероника;Эдуардовна;873-776-349 13;16.04.1962
Опытова;Анна;Сергеевна;774-011-353 55;26.06.1984
Кадыкеев;Юрий;Петрович;206-848-901 30;27.07.2003
Коничев;Николай;Андреевич;419-397-293 90;04.09.1991
Курсасов;Алексей;Тимофеевич;133-614-036 75;02.07.1946
Питерин;Валерий;Валериевич;467-316-144 92;09.09.1949
Семячкин;Евгений;Юрьевич;044-882-186 75;02.12.1958
Дзарданов;Никита;Павлович;328-870-594 90;07.02.1976
Стегин;Руслан;Вадимович;390-776-718 99;30.06.1983
Ромаичев;Константин;Юриевич;111-766-904 42;23.04.1949
Целоусов;Виктор;Яковлевич;821-362-626 18;21.10.1948
Мисаров;Станислав;Юриевич;123-960-561 09;07.06.1990
Ворохов;Валерий;Петрович;548-147-563 51;09.04.1967
Девониский;Вадим;Денисович;241-228-081 81;22.12.2006
Хаснуллин;Игорь;Олегович;758-117-943 53;08.12.1959
Агещев;Евгений;Валериевич;868-317-856 100;07.10.2005
Сударов;Дмитрий;Тимофеевич;522-005-868 68;05.06.1982
Забояркин;Денис;Виталиевич;266-098-224 22;29.10.1987
Цеков;Кирилл;Евгеньевич;926-784-359 15;30.12.1956
Альмереков;Вадим;Тимофеевич;196-046-006 68;15.06.1944
Каприелов;Юрий;Виталиевич;419-569-886 72;14.09.1989
Тыквин;Вадим;Иванович;497-618-906 80;24.06.1990
Ильчинин;Яков;Аркадиевич;413-262-126 69;19.01.1967
Богомолкин;Николай;Юрьевич;622-379-259 00;26.07.1957
Штенников;Федор;Романович;536-419-540 01;09.04.1969
Зуденков;Артур;Виталиевич;426-525-628 58;12.03.1990
Ротников;Степан;Павлович;367-085-678 28;22.08.1975
Тутнов;Степан;Тимофеевич;721-066-770 23;20.06.1998
Гуленов;Максим;Валериевич;221-350-069 11;28.03.1959
Тавровский;Алексей;Олегович;061-475-584 79;26.07.1982
Савольский;Олег;Василиевич;101-434-486 50;10.10.1959
Лисагоров;Борис;Яковлевич;660-970-251 83;27.04.1992
Галев;Леонид;Антонович;355-074-816 44;26.08.1972
Лузгинов;Федор;Михаилович;276-005-188 44;20.10.2004
Горбавцов;Евгений;Василиевич;602-030-088 97;08.09.1963
Пустынин;Никита;Иванович;254-323-069 29;25.08.1993
Голюдбин;Григорий;Юриевич;903-308-964 72;17.03.2007
Билсагаев;Алексей;Максимович;708-537-505 21;27.03.1964
Воасов;Евгений;Сергеевич;739-457-380 44;25.11.1959
Лоев;Юрий;Николаевич;262-543-277 53;08.11.1965
Халабаев;Эдуард;Олегович;087-595-567 30;30.04.2007
Лободин;Александр;Евгеньевич;640-114-150 11;14.09.1943
Сепин;Анатолий;Петрович;737-505-098 70;01.10.1977
Креницкий;Семён;Аркадиевич;130-698-749 46;25.12.1962
Пруднев;Семён;Борисович;093-263-741 06;26.01.1978
Гайнанов;Яков;Сергеевич;748-700-528 25;12.03.1946
Пачушкин;Эдуард;Валериевич;533-947-204 99;19.11.1948
Чубаев;Константин;Романович;467-176-476 96;31.12.1956
Шапуткин;Олег;Валериевич;126-084-509 41;14.07.1964
Бичаев;Пётр;Фёдорович;211-372-659 79;21.03.2003
Поеров;Ярослав;Аркадиевич;407-646-469 13;29.08.1964
Шилимин;Альберт;Игоревич;238-148-298 10;29.04.1995
Трехонин;Геннадий;Викторович;442-149-277 73;03.09.2001
Фениксов;Виктор;Данилович;123-223-251 35;04.02.1957
Зоблев;Василий;Юриевич;876-203-104 23;23.08.1944
Холнцев;Альберт;Юриевич;043-740-452 83;07.06.1970
Бекешев;Илья;Вадимович;391-613-226 84;11.05.1985
Макрюков;Василий;Евгеньевич;789-135-358 71;28.10.1992
Кадамшоев;Алексей;Петрович;945-053-946 68;22.03.1951
Донковцев;Владимир;Романович;365-648-973 21;05.01.1978
Акшонов;Пётр;Кириллович;116-504-955 58;30.05.1969
Худжаеров;Максим;Тимофеевич;257-442-988 37;28.02.1995
Шабаев;Иван;Алексеевич;673-879-551 78;02.08.1954
Грифцев;Александр;Романович;181-730-229 08;04.08.1944
Кузиков;Тарас;Адамович;147-445-817 66;24.08.1999
Сурудин;Павел;Романович;394-722-461 100;17.07.1980
Бальшаков;Илья;Фёдорович;941-032-693 27;02.06.1990
Лавнеев;Иван;Евгеньевич;971-212-375 06;01.12.1947
Мякисев;Федор;Юриевич;743-011-381 54;28.10.1954
Крендлин;Иван;Алексиевич;255-441-816 24;19.02.1986
Броневский;Валентин;Кириллович;505-565-239 61;25.12.1999
Котюхов;Тарас;Алексеевич;545-493-947 18;15.08.1950
Чунаков;Илья;Фёдорович;285-188-708 91;01.08.1953
Лактюшин;Альберт;Борисович;458-025-855 60;21.05.1998
Пассонин;Вадим;Романович;399-081-797 30;25.01.1952
Батруков;Алексей;Аркадиевич;980-514-681 27;18.01.1971
Выжимов;Борис;Викторович;170-060-102 82;16.09.1976
Новаторов;Федор;Николаевич;930-372-136 90;23.07.1994
Глинянов;Эдуард;Олегович;716-827-919 15;09.09.1953
Подгоных;Александр;Адамович;479-294-327 59;29.05.1986
Брудков;Олег;Игоревич;024-123-297 37;22.04.2005
Кадушкин;Василий;Сергеевич;266-603-013 25;12.11.1972
Вихонин;Денис;Андреевич;436-206-647 49;24.03.1997
Язбердиев;Ярослав;Алексиевич;048-839-647 21;09.09.1994
Карымышев;Леонид;Алексеевич;218-942-600 64;21.01.1963
Утюгов;Павел;Адамович;807-796-150 17;27.05.2000
Мурчаков;Алексей;Игоревич;215-437-014 59;28.04.1951
Таджикулов;Юрий;Аркадиевич;661-739-129 63;25.09.1969
Хайлов;Денис;Евгеньевич;151-052-267 11;13.12.1949
Пенцлин;Роман;Аркадиевич;339-002-454 79;05.05.1996
Кудеев;Герасим;Андреевич;874-418-087 71;15.09.1989
Кончевский;Игорь;Вадимович;602-719-599 47;09.10.1955
Корыткин;Вячеслав;Фёдорович;205-765-809 92;21.05.1974
Аверюшкин;Григорий;Кириллович;670-648-968 56;24.06.1950
Гатуин;Константин;Олегович;704-230-972 18;28.03.1945
Кандыкин;Дмитрий;Антонович;892-090-950 15;03.03.1979
Шебаров;Вячеслав;Евгеньевич;169-091-821 02;05.02.1947
Пашенцов;Евгений;Борисович;145-926-342 10;27.09.1944
Соколых;Павел;Игоревич;809-751-659 07;24.03.1978
Венчев;Никита;Валериевич;201-331-193 76;23.11.1990
Поживаев;Владимир;Петрович;401-997-208 59;05.06.1999
Колчушкин;Леонид;Михаилович;602-393-408 24;18.10.1984
Макокин;Артур;Тимофеевич;906-855-311 79;14.08.1960
Михаенков;Константин;Валериевич;509-651-508 30;15.03.1945
Бубликов;Валентин;Леонидович;529-894-122 07;18.02.1982
Петрованов;Максим;Михаилович;032-421-505 50;22.01.1949
Битеев;Дмитрий;Леонидович;283-749-368 21;03.02.1956
Кирицкий;Вадим;Юрьевич;538-724-645 57;23.11.1946
Парканский;Федор;Леонидович;193-286-301 65;11.12.1946
Костенов;Герасим;Яковлевич;618-792-887 61;18.07.1977
Турецков;Василий;Алексиевич;348-714-809 73;20.11.1994
Мадекин;Станислав;Викторович;372-756-941 60;22.06.1980
Ганяшин;Антон;Петрович;508-160-946 55;21.11.1989
Мейлихов;Олег;Борисович;934-690-956 05;29.08.1985
Жуляев;Пётр;Сергеевич;659-312-370 74;12.02.1988
Дударев;Артур;Николаевич;295-672-146 34;28.11.2006
Галямов;Илья;Сергеевич;759-630-080 71;05.02.2001
Свиридов;Юрий;Адамович;202-550-552 79;14.11.1994
Пестраков;Тарас;Денисович;716-930-736 47;13.07.1945
Пиляцкин;Павел;Тимофеевич;633-856-388 25;17.01.1998
Туренкский;Роман;Петрович;955-496-062 30;12.11.1948
Высоколов;Артур;Иванович;350-864-038 33;28.05.1946
Бухачев;Ярослав;Аркадиевич;042-638-337 50;31.10.1962
Жальский;Виталий;Максимович;768-728-811 37;05.06.1982
Угленков;Василий;Иванович;289-232-635 24;27.02.1982
Новоженков;Аркадий;Игоревич;686-786-336 86;15.12.1967
Мойров;Николай;Тимофеевич;205-409-385 60;19.03.1954
Кананухин;Георгий;Кириллович;055-654-756 90;08.01.1965
Гукетлев;Руслан;Виталиевич;768-568-646 17;28.12.1974
Вомперский;Геннадий;Петрович;329-131-918 41;26.07.1980
Таджидинов;Александр;Леонидович;389-769-699 19;15.11.1955
Чернокожих;Кирилл;Виталиевич;571-696-615 65;28.03.2006
Носоров;Кирилл;Викторович;179-783-511 10;12.05.1970
Вольготов;Борис;Тимофеевич;418-519-348 77;21.02.1956
Рознотов;Борис;Виталиевич;742-725-276 55;08.07.1957
Сококин;Юрий;Вадимович;053-937-321 88;04.07.1947
Копалкин;Виктор;Георгиевич;028-210-520 08;29.09.1967
Ревизов;Геннадий;Валериевич;095-527-625 46;11.01.1960
Дивлев;Станислав;Юриевич;577-530-053 65;23.02.2000
Андреюшков;Юрий;Виталиевич;129-985-712 53;25.09.1948
Аинулин;Станислав;Вадимович;056-676-518 83;29.08.1951
Батершин;Василий;Павлович;491-154-524 96;11.04.2003
Дамкин;Михаил;Викторович;758-955-005 04;09.06.1945
Шибалин;Федор;Максимович;783-247-937 00;23.06.1944
Камзалкин;Олег;Николаевич;075-834-151 84;01.04.1957
Волгунов;Максим;Денисович;316-541-505 78;29.05.1997
Прибылов;Кирилл;Вадимович;130-036-180 55;15.07.1983
Ласнов;Григорий;Олегович;295-660-703 96;15.09.1987
Жиделев;Ярослав;Яковлевич;838-573-119 42;29.01.1960
Венгржин;Иван;Фёдорович;725-844-399 31;30.10.2007
Борматин;Константин;Павлович;528-990-945 05;17.02.1989
Подкидышев;Игорь;Петрович;139-631-815 24;09.10.2003
Сарнавский;Иван;Адамович;740-276-774 84;31.10.1956
Приданов;Алексей;Юрьевич;984-413-560 88;06.01.1986
Бяхов;Аркадий;Виталиевич;788-324-189 88;06.11.1997
Степкин;Артур;Евгеньевич;777-724-915 61;04.09.1999
Кустрилнов;Михаил;Кириллович;019-380-488 94;21.07.1951
Аветисов;Юрий;Николаевич;590-690-597 16;06.11.1990
Заглядов;Роман;Максимович;992-436-078 69;08.05.1989
Егурнов;Эдуард;Сергеевич;079-240-795 81;31.03.1980
Храпин;Борис;Кириллович;901-058-482 34;04.02.1963
Шадышев;Иван;Алексиевич;861-258-938 15;05.09.1987
Сыщиков;Альберт;Леонидович;162-563-580 24;31.03.1957
Ярмизин;Эдуард;Аркадиевич;070-518-193 31;26.07.1962
Шандорин;Леонид;Алексеевич;361-888-587 61;04.08.1945
Дратинский;Эдуард;Петрович;206-526-813 12;09.10.1956
Похомов;Леонид;Евгеньевич;479-266-047 48;13.01.1967
Вяселев;Тарас;Алексиевич;784-157-703 13;04.06.1958
Кусаев;Герасим;Николаевич;362-655-926 81;02.02.1976
Ревазов;Виталий;Андреевич;179-808-612 22;11.05.1967
Хронов;Руслан;Василиевич;778-752-537 74;21.10.1966
Абмаев;Аркадий;Андреевич;632-396-648 08;04.12.1983
Алхименков;Артём;Яковлевич;298-529-967 59;31.01.1966
Огальцов;Борис;Евгеньевич;128-679-829 52;30.03.2005
Шарвин;Леонид;Викторович;742-864-677 23;17.06.1978
Мосевицкий;Константин;Денисович;790-084-458 73;01.05.1980
Саманев;Станислав;Максимович;578-346-968 50;16.03.1947
Вечкутов;Константин;Данилович;975-362-800 74;23.01.1995
Шехобалов;Григорий;Валериевич;205-093-380 98;04.01.1947
Гундеров;Руслан;Леонидович;494-303-800 41;03.10.1990
Едреев;Артур;Петрович;220-921-855 45;21.07.1992
Шанаурин;Константин;Кириллович;894-629-205 14;14.05.1967
Табаев;Константин;Игоревич;510-497-240 87;10.02.1991
Ленюшин;Станислав;Вадимович;720-343-873 44;26.05.1967
Дорошев;Виталий;Михаилович;924-030-404 22;07.10.1955
Малистов;Евгений;Алексиевич;701-788-525 67;07.07.1978
Шакалов;Павел;Алексеевич;330-478-695 23;29.07.1965
Цегловский;Игорь;Валериевич;365-545-226 16;23.10.1974
Ромачев;Семён;Олегович;033-067-835 55;21.06.1955
Крошков;Алексей;Аркадиевич;196-018-514 97;25.10.1966
Агашов;Денис;Фёдорович;141-621-768 70;29.06.1944
Худойдотов;Валерий;Андреевич;197-821-407 10;11.04.1991
Морозков;Алексей;Денисович;790-251-031 12;20.10.1955
Щеповских;Борис;Юриевич;451-689-904 81;24.09.1973
Гондарев;Михаил;Алексеевич;305-257-378 90;04.01.1981
Деникеев;Артём;Юрьевич;201-438-353 07;19.04.1978
Пуленков;Иван;Романович;649-722-057 27;10.09.1971
Османов;Герасим;Игоревич;866-174-111 42;02.10.1946
Сычев;Пётр;Иванович;817-756-503 14;11.03.1981
Секамов;Никита;Аркадиевич;356-138-047 25;28.01.1992
Сипинский;Геннадий;Викторович;376-637-132 92;05.08.1956
Подшебякин;Кирилл;Борисович;311-233-988 03;19.04.1978
Сличных;Станислав;Юрьевич;891-825-812 18;18.02.1973
Мазырев;Станислав;Яковлевич;363-646-488 21;27.03.2002
Чумаров;Степан;Василиевич;872-267-784 07;20.09.1956
Чекотин;Борис;Викторович;704-187-913 43;14.07.1998
Шемухин;Евгений;Тимофеевич;728-300-062 31;24.04.1980
Зыкунов;Семён;Юрьевич;698-205-221 41;09.04.1967
Раньков;Михаил;Алексеевич;681-795-446 89;27.12.2003
Купров;Пётр;Василиевич;831-621-326 78;26.07.1969
Бухтояров;Владимир;Иванович;044-475-763 71;09.07.2008
Крюкин;Виктор;Валериевич;187-615-923 41;23.06.1975
Бухманов;Дмитрий;Юриевич;907-679-557 34;13.08.1980
Корешков;Пётр;Георгиевич;164-309-728 72;18.10.1960
Куцовский;Станислав;Антонович;310-743-414 74;11.11.1974
Мартышев;Пётр;Андреевич;006-071-918 44;04.03.1996
Алпотонов;Станислав;Данилович;661-217-414 75;27.09.1997
Чузавков;Валерий;Николаевич;686-200-699 91;17.01.1991
Цельнов;Анатолий;Тимофеевич;653-416-529 55;11.05.2002
Щипалов;Виталий;Данилович;170-927-353 29;18.05.1949
Степанский;Борис;Валериевич;973-419-753 65;10.06.1969
Маргаев;Игорь;Юрьевич;774-353-332 77;16.10.1955
Алюшев;Дмитрий;Николаевич;742-112-709 06;06.11.1973
Аненков;Аркадий;Яковлевич;320-358-301 45;04.03.1994
Сморчков;Георгий;Адамович;570-718-855 91;21.11.1968
Загудалкин;Алексей;Романович;224-320-480 60;03.10.2004
Шувалов;Никита;Кириллович;607-865-277 00;24.06.1976
Недешев;Денис;Алексиевич;820-415-066 98;13.06.1964
Чуганков;Артур;Викторович;395-882-439 00;06.01.1958
Жилиев;Вячеслав;Виталиевич;428-882-147 58;26.04.1951
Дшашитов;Михаил;Виталиевич;028-983-393 90;14.01.1986
Укоборин;Игорь;Борисович;281-669-556 08;12.12.1969
Трунтов;Федор;Романович;851-309-987 34;20.05.2000
Шейтуцалов;Андрей;Игоревич;973-586-770 78;18.05.2001
Фейдкулин;Артём;Николаевич;065-783-461 36;26.08.1974
Пальнов;Михаил;Василиевич;644-871-064 17;24.08.1967
Щипакин;Григорий;Виталиевич;383-169-251 09;13.05.1959
Ширмов;Яков;Юрьевич;543-117-698 11;27.08.1952
